ZCTA,ZIP,POP,POPDENS,PER65,PERW,PERHIS,PERBLK,PERPEDB,MEDINC,PERHSRV,FDTRTPER,WS__5,CASE_5_1,TEST_5_1
60018,60018,30386,0.000715,0.155697,0.506549,0.350885,0.018495,0.022058,60751,0.037334,0.111111,3.577818,232,727
60601,60601,14675,0.015708,0.141397,0.659421,0.086814,0.052266,0.449679,103243,0.007382,0,55.353747,51,347
60604,60604,782,0.003261,0.118926,0.612532,0.043478,0.047315,0.550201,116250,0,0,52.203151,7,36
60605,60605,27519,0.008531,0.093354,0.573458,0.058432,0.16534,0.258748,111164,0.010401,0,47.900487,122,751
60606,60606,3101,0.005443,0.138987,0.686553,0.062883,0.023541,0.431373,131477,0.012162,0,55.775578,30,210
60607,60607,29591,0.004992,0.054206,0.52178,0.083032,0.143963,0.285297,93508,0.005382,0,61.040068,247,1036
60608,60608,79205,0.004852,0.099135,0.191251,0.506862,0.172426,0.100713,44043,0.033471,0.166667,61.559835,718,2303
60609,60609,61495,0.003067,0.113456,0.14915,0.534352,0.243288,0.063785,35179,0.035461,0.413793,39.705417,684,1764
60610,60610,39019,0.013017,0.154514,0.687076,0.06666,0.145211,0.191573,86803,0.012628,0,53.438216,144,954
60611,60611,32426,0.015313,0.218312,0.714458,0.052458,0.02754,0.38197,103522,0.005898,0,93.067471,97,980
60612,60612,34311,0.003534,0.091399,0.213751,0.122585,0.599341,0.097341,41300,0.052931,0.238095,71.271572,375,1854
60613,60613,50113,0.008898,0.08838,0.730349,0.112985,0.056951,0.077503,82321,0.015182,0,51.141255,238,1057
60614,60614,71308,0.008825,0.086652,0.796012,0.06054,0.039182,0.091647,107461,0.005589,0,52.307878,270,1584
60615,60615,41563,0.007254,0.144888,0.264274,0.061906,0.547073,0.194882,44111,0.026616,0,31.82874,237,1394
60616,60616,54464,0.00526,0.159426,0.241627,0.084459,0.248458,0.12671,45997,0.027304,0.111111,48.074999,251,1229
60617,60617,82534,0.002301,0.154979,0.063186,0.37656,0.553651,0.022112,40265,0.057073,0.521739,3.954203,522,2399
60618,60618,94395,0.007293,0.090323,0.482579,0.404174,0.021135,0.056012,73810,0.015575,0,55.541868,536,2205
60619,60619,61258,0.003928,0.169937,0.013941,0.014186,0.956136,0.017053,33454,0.074721,0.571429,13.174618,581,2313
60620,60620,68096,0.003711,0.173902,0.011087,0.013378,0.962494,0.009229,35890,0.082861,0.454545,12.64915,700,2585
60621,60621,29042,0.003007,0.135252,0.011019,0.036533,0.942704,0.024846,20991,0.087709,0.285714,31.484175,301,1034
60622,60622,52793,0.008251,0.05908,0.646752,0.219328,0.061182,0.097471,93988,0.013408,0.111111,100,308,1468
60623,60623,85979,0.006181,0.090778,0.02917,0.661371,0.303539,0.058719,31634,0.044653,0.230769,61.135027,1285,2709
60624,60624,36158,0.003949,0.108468,0.027352,0.052962,0.903728,0.022471,22992,0.100803,0.117647,66.53608,430,1457
60625,60625,79243,0.007897,0.095592,0.455384,0.327827,0.047134,0.071038,64117,0.031851,0,53.17007,596,1824
60626,60626,49730,0.011263,0.101166,0.451317,0.206153,0.247416,0.099178,40591,0.032053,0.181818,25.65331,512,1664
60628,60628,66724,0.002359,0.168935,0.019198,0.03435,0.932078,0.015166,40261,0.071709,0.954545,7.278283,624,2264
60629,60629,111850,0.006349,0.099481,0.08228,0.710165,0.195485,0.03698,42019,0.036032,0.318182,34.06009,1225,2871
60630,60630,57344,0.004637,0.152379,0.561244,0.27914,0.014404,0.019616,72092,0.033327,0.083333,49.327147,343,1532
60631,60631,29529,0.003064,0.185208,0.821328,0.106743,0.01507,0.019081,91034,0.015465,0.142857,32.211999,131,1111
60632,60632,91039,0.004729,0.095585,0.08783,0.839574,0.011039,0.041259,42758,0.027855,0.391304,44.331993,1115,2434
60633,60633,12871,0.000483,0.130215,0.314505,0.449848,0.232072,0.031291,47083,0.019393,0.75,3.285511,158,972
60634,60634,75995,0.004125,0.150234,0.540299,0.382459,0.017593,0.023809,66741,0.038703,0.055556,42.707001,634,3030
60636,60636,32203,0.003178,0.192342,0.010496,0.076763,0.898395,0.028702,27310,0.09389,0.6,29.764942,372,1002
60637,60637,47454,0.004046,0.115122,0.144519,0.028259,0.757597,0.173098,28785,0.059843,0.217391,27.747059,330,1877
60638,60638,58797,0.002044,0.140126,0.4356,0.517713,0.029491,0.023596,67984,0.024453,0.333333,28.165165,518,1980
60639,60639,90517,0.007165,0.089895,0.067435,0.779279,0.129114,0.042848,44150,0.035223,0,54.092701,1274,3062
60640,60640,69715,0.011159,0.128911,0.553023,0.142566,0.165875,0.07222,53831,0.026219,0,48.30502,453,1716
60641,60641,71023,0.006785,0.111302,0.366191,0.539966,0.01905,0.028505,60073,0.029575,0.157895,54.821412,548,1959
60642,60642,20201,0.004718,0.065442,0.600267,0.201673,0.101233,0.103123,101939,0.004091,0,61.557222,73,499
60643,60643,49870,0.002621,0.183537,0.203289,0.033066,0.733367,0.019437,64477,0.034929,0.428571,3.54754,482,2021
60644,60644,47712,0.005258,0.129967,0.029175,0.064302,0.895184,0.035413,27262,0.110004,0.75,63.188382,599,1832
60645,60645,47732,0.008163,0.137518,0.450034,0.170263,0.170452,0.071739,53340,0.041645,0.111111,27.451487,638,1946
60646,60646,27987,0.002364,0.204809,0.725873,0.141887,0.010576,0.020939,89480,0.018694,0,40.390314,199,1120
60647,60647,87509,0.008406,0.071124,0.443486,0.448251,0.054372,0.083932,73443,0.018986,0.029412,60.138423,522,2153
60649,60649,46024,0.006066,0.142752,0.028572,0.025704,0.925561,0.025449,30222,0.084664,0.642857,17.252805,466,1833
60651,60651,63218,0.006983,0.114208,0.041491,0.424879,0.512038,0.033041,38083,0.0739,0.5625,58.482745,693,2048
60652,60652,43907,0.003381,0.107955,0.101852,0.398091,0.468946,0.002124,68425,0.043127,0.333333,16.523363,384,1248
60653,60653,31972,0.005292,0.128925,0.042975,0.02155,0.903165,0.044204,29569,0.063676,0.0625,34.227579,301,1221
60654,60654,19135,0.013063,0.058897,0.738124,0.052103,0.053724,0.44875,112699,0.00119,0,56.553783,92,486
60655,60655,28804,0.002525,0.129531,0.826101,0.082975,0.066414,0.022997,97572,0.014119,0,0,170,1088
60656,60656,27579,0.003258,0.168135,0.763371,0.12263,0.011784,0.010472,61599,0.016676,0.25,30.50605,140,975
60657,60657,70052,0.011897,0.080198,0.805002,0.069962,0.025281,0.072115,92295,0.007037,0,54.84964,211,1486
60659,60659,41068,0.007821,0.112082,0.398437,0.191877,0.100005,0.081255,51383,0.040049,0.142857,39.893068,383,1095
60660,60660,43242,0.012943,0.132764,0.516003,0.178715,0.141783,0.080625,49241,0.033417,0.166667,35.346979,232,875
60661,60661,9926,0.012892,0.021862,0.512895,0.064477,0.035966,0.499588,107245,0.009761,0,55.613147,25,219