District,Region,Population (1851),Deaths from Cholera (1849),Area,Elevation,Houses,Value of Houses
Kensington,West,120004,206,7374,40,10962,488188
Chelsea,West,56538,247,865,12,5648,169679
St. George Hanover Square,West,73230,131,1161,34,7630,878690
Westminster,West,65609,437,917,3,6439,238164
St. Martin-in-the-Fields,West,24640,91,305,38,2439,297665
St. James Westminster,West,36406,57,164,58,3590,474528
Marylebone,North,157696,261,1509,87,14169,1050664
Hampstead,North,11986,9,2252,350,1411,58743
Pancras,North,166956,360,2716,73,14766,633974
Islington,North,95329,187,3127,94,8508,307286
Hackney,North,58429,139,3929,53,7192,186415
St. Giles,Central,54214,285,245,68,4959,306439
Strand,Central,44460,156,174,50,4327,321999
Holborn,Central,46621,161,196,53,4603,261970
Clerkenwell,Central,64778,121,315,65,6946,235324
St. Luke,Central,54055,183,220,51,6385,186256
East London,Central,44406,182,153,40,4796,191558
West London,Central,28790,429,136,29,3010,217562
City of London,Central,55932,207,434,31,7921,990008
Shoreditch,East,109257,830,646,48,,323091
Bethnal Green,East,90193,789,760,38,11782,109937
Whitechapel,East,79759,506,406,32,8834,243657
St. George-in-the-East,East,48376,199,243,31,5985,196942
Stepney,East,110775,501,1257,21,14364,301888
Poplar,East,47162,313,2918,8,5066,229751
"St. Saviour, Southwark",South,35731,539,250,3,4659,174732
"St. Olave, Southwark",South,19375,349,169,4,2523,90583
Bermondsey,South,48128,734,688,0,5674,107821
St. George Southwark,South,51824,836,282,0,6663,155175
Newington,South,64816,907,624,-1,9370,207460
Lambeth,South,139325,1618,4015,3,17791,510341
Wandsworth,South,50764,484,11695,24,6459,193395
Camberwell,South,54667,504,4342,4,6843,180418
Rotherhithe,South,17805,352,886,0,2420,59072
Greenwich,South,99305,718,5367,8,11995,274478
Lewisham,South,34835,96,17224,28,3966,111357