country,chocolate_kg_person,nobel_laureates,population_2018
Switzerland,8.8,28,8544034
Sweden,8.1,30,9982709
Austria,7.9,22,8751820
Denmark,7.9,14,5754356
Norway,6.6,13,5353363
Ireland,5.8,7,4803748
Germany,5.7,109,82293457
United States,5.6,383,326766748
France,5.4,70,65233271
Finland,5,5,5542517
Belgium,4.9,10,11498519
New Zealand,4.9,3,4749598
Poland,4.9,19,38104832
Australia,4.8,12,24772247
Czech Republic,4.4,5,10625250
Japan,4.3,28,127185332
South Africa,1.2,10,57398421
Russia,0.9,23,143964709
China,0.1,9,1415045928